created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(tem 485 ºC )","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-21T07:15:35-05:00,,,,-45,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T08:15:12-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T08:15:26-05:00,24.789,61.1734,,,,61.95,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T08:15:30-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T08:15:33-05:00,,,,-32,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T09:15:12-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T09:15:26-05:00,25.6516,50.7225,,,,62.25,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T09:15:29-05:00,,,,-31,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T09:15:31-05:00,,,,,,,,,102,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T10:15:12-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T10:15:26-05:00,25.1415,48.0766,,,,63.3,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T10:15:29-05:00,,,,-39,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T10:15:31-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T11:15:12-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T11:15:26-05:00,26.2283,58.2574,,,,60.9,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T11:15:30-05:00,,,,-42,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T11:15:31-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T12:15:12-05:00,,,3.922,,,,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T12:15:26-05:00,26.9493,54.4869,,,,58.8,,,,,,,,,,,,,,,,VR032M0GS1A,,,
2025-03-21T12:15:31-05:00,,,,,,,,,101.9,,,,,,,,,,,,,VR032M0GS1A,,,
