created_at,"field1(Temperatura ºC )",field2(Humedad),field3(Voltage),"field4(WIFI RSSI)","field5(GSM RSSI)",field6(Light),"field7(RS485 Temperature ºC )","field8(RS485 Humidity)","field9(Presión atmosférica)","field10(RS485 Soil Moisture)","field11(External Light)","field12(PT100 Temperature ºC )","field13(Wind Speed)","field14(Carbon Dioxide)","field15(RS485 Atmospheric Pressure)",status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-03-21T08:49:11-05:00,22.0039,52.1569,3.885,,,252.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T08:49:14-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-48;40:b0:76:af:1c:68,-67;d4:5d:64:ea:85:20,-69;58:9b:f9:58:cd:50,-71;98:35:ed:1e:e6:6d,-72",,X8A835VGS1A,,,
2025-03-21T08:49:16-05:00,,,,-48,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T09:49:10-05:00,22.2896,53.373,3.885,,,119.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T09:49:15-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T09:49:22-05:00,,,,-70,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T10:49:11-05:00,22.5433,51.0719,3.885,,,66.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T10:49:14-05:00,,,,-52,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T10:49:15-05:00,,,,,,,,,101.9,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T11:49:11-05:00,22.4712,51.5801,3.885,,,109.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T11:49:15-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T11:49:16-05:00,,,,-61,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T12:49:11-05:00,22.57,49.3675,3.885,,,90.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T12:49:15-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T12:49:26-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-21T12:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T13:49:11-05:00,22.4018,51.2001,3.885,,,89.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T13:49:14-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-50;d4:5d:64:ea:85:20,-75;40:b0:76:af:1c:68,-78;4c:ed:fb:7a:89:00,-78;98:35:ed:97:2f:3f,-85",,X8A835VGS1A,,,
2025-03-21T13:49:16-05:00,,,,-43,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T14:49:11-05:00,22.57,51.6564,3.885,,,74.7,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T14:49:14-05:00,,,,-58,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T14:49:16-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T15:49:11-05:00,22.5006,53.0404,3.8813,,,58.95,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T15:49:16-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T15:49:26-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-21T15:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T16:49:11-05:00,22.5994,51.5511,3.885,,,47.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T16:49:14-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-44;a2:e0:5c:32:43:4e,-60;58:9b:f9:58:cd:50,-67;4c:ed:fb:7a:89:00,-70;d4:5d:64:ea:85:20,-70",,X8A835VGS1A,,,
2025-03-21T16:49:16-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T16:49:17-05:00,,,,-45,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T17:49:12-05:00,22.5566,52.137,3.885,,,282.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T17:49:16-05:00,,,,,,,,,101.5,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T17:49:23-05:00,,,,-73,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T18:49:12-05:00,22.4018,50.3395,3.8813,,,272.1,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T18:49:17-05:00,,,,-74,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T19:49:12-05:00,22.6394,51.3466,3.885,,,286.05,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T19:49:14-05:00,,,,-80,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T19:49:16-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T20:49:12-05:00,22.4285,49.7032,3.885,,,292.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T20:49:14-05:00,,,,-71,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T20:49:16-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T21:49:12-05:00,22.0893,47.9255,3.8813,,,266.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T21:49:16-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T21:49:27-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,502,,
2025-03-21T21:49:28-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-21T22:49:12-05:00,21.7102,47.1351,3.885,,,261.9,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T22:49:15-05:00,,,,,,,,,,,,,,,,,,,,"58:9b:f9:58:cd:50,-69;d4:5d:64:ea:85:20,-70;40:b0:76:af:1c:68,-71;4c:ed:fb:7a:89:00,-73;04:d4:c4:36:9e:78,-81",,X8A835VGS1A,,,
2025-03-21T22:49:17-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T22:49:23-05:00,,,,-47,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T23:49:13-05:00,21.7102,56.5606,3.8813,,,263.55,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T23:49:16-05:00,,,,-70,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-21T23:49:18-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T00:49:13-05:00,22.7382,68.2414,3.885,,,260.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T00:49:18-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T00:49:26-05:00,,,,-72,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T01:49:14-05:00,23.064,68.0049,3.8813,,,59.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T01:49:18-05:00,,,,-72,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T01:49:19-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T02:49:15-05:00,23.3177,65.7481,3.885,,,58.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T02:49:19-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T02:49:30-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-22T03:49:15-05:00,23.3764,64.2542,3.8813,,,59.25,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T03:49:17-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-52;d4:5d:64:ea:85:20,-67;40:01:c6:16:59:31,-67;58:9b:f9:58:cd:50,-68;d4:5d:64:ea:94:c0,-70",,X8A835VGS1A,,,
2025-03-22T03:49:19-05:00,,,,-54,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T04:49:15-05:00,23.4325,63.9887,3.885,,,44.85,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T04:49:19-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T04:49:30-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-22T05:49:15-05:00,23.6034,66.1585,3.8813,,,309.75,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T05:49:18-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-49;40:b0:76:af:1c:68,-62;4c:ed:fb:7a:89:00,-66;d4:5d:64:ea:85:20,-68;58:9b:f9:58:cd:50,-70",,X8A835VGS1A,,,
2025-03-22T05:49:20-05:00,,,,,,,,,101.6,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T05:49:21-05:00,,,,-56,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T06:49:16-05:00,23.9426,62.977,3.8813,,,338.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T06:49:21-05:00,,,,-73,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T07:49:16-05:00,24.3351,63.5645,3.8813,,,399.3,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T07:49:21-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T07:49:22-05:00,,,,-52,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T08:49:17-05:00,24.9279,63.7751,3.8813,,,433.8,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T08:49:22-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T08:49:23-05:00,,,,-74,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T09:49:17-05:00,23.6435,47.3045,3.8813,,,547.5,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T09:49:19-05:00,,,,-72,,,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T09:49:22-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T10:49:17-05:00,23.5447,47.6982,3.8813,,,398.55,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T10:49:22-05:00,,,,,,,,,101.8,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T10:49:33-05:00,,,,,,,,,,,,,,,,,,,,,,X8A835VGS1A,507,,
2025-03-22T11:49:17-05:00,23.1922,48.22,3.8813,,,392.4,,,,,,,,,,,,,,,,X8A835VGS1A,,,
2025-03-22T11:49:20-05:00,,,,,,,,,,,,,,,,,,,,"04:d4:c4:36:a9:c0,-53;58:9b:f9:58:cd:50,-74;98:35:ed:1e:e6:6d,-75;40:b0:76:af:1c:68,-77;b2:3c:2a:33:21:2e,-77",,X8A835VGS1A,,,
2025-03-22T11:49:22-05:00,,,,,,,,,101.7,,,,,,,,,,,,,X8A835VGS1A,,,
